Chemical Name,Chemical Abbreviation,InChI Key (ID)
Methylammonium ,MeNH3I,LLWRXQXPJMPHLR-UHFFFAOYSA-N
Imidazolium ,Imidazolium,JBOIAZWJIACNJF-UHFFFAOYSA-N
Acetamidinium ,AcNH3I,GGYGJCFIYJVWIP-UHFFFAOYSA-N
Formamidinium ,Formamidinium,QHJPGANWSLEMTI-UHFFFAOYSA-N
Phenethylammonium ,PhEtNH3I,UPHCENSIMPJEIS-UHFFFAOYSA-N
Guanidinium ,GnNH3I,UUDRLGYROXTISK-UHFFFAOYSA-N
n-Butylammonium ,n-BuNH3I,CALQKRVFTWDYDG-UHFFFAOYSA-N
Ethylammonium ,EtNH3I,XFYICZOIWSBQSK-UHFFFAOYSA-N
