Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,InChI Key (ID),Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
Phenethylammonium bromide,Phenethylammoniumbromide,202.09,,"InChI=1S/C8H11N.BrH/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",IRAGENYJMTVCCV-UHFFFAOYSA-N,c1ccc(cc1)CC[NH3+].[Br-],C8H12BrN,,,,,,,,
Formamidinium bromide,FABr,124.94,,,,,,,,,,,,,
4-Fluoro-Benzylammonium iodide,4FluoroBenzylammoniumIodide,253.06,,"InChI=1S/C7H8FN.HI/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",LCTUISCIGMWMAT-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)C[N+].[I-],C7H9FIN,,,,,,,,
4-Fluoro-Phenethylammonium iodide,4FluoroPhenethylammoniumIodide,267.08,,"InChI=1S/C8H10FN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",NOHLSFNWSBZSBW-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)CC[N+].[I-],C8H11FIN,,,,,,,,
4-Fluoro-Phenylammonium iodide,4FluoroPhenylammoniumIodide,239.03,,"InChI=1S/C6H6FN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",FJFIJIDZQADKEE-UHFFFAOYSA-N,C1(=CC=C(C=C1)F)[N+].[I-],C6H7FIN,,,,,,,,
4-Methoxy-Phenylammonium iodide,4MethoxyPhenylammoniumIodide,251.07,,"InChI=1S/C7H9NO.HI/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",QRFXELVDJSDWHX-UHFFFAOYSA-N,C1(=CC=C(C=C1)OC)[N+].[I-],C7H10INO,,,,,,,,
4-Trifluoromethyl-Benzylammonium iodide,4TrifluoromethylBenzylammoniumIodide,303.07,,"InChI=1S/C8H8F3N.HI/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",SQXJHWOXNLTOOO-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)C[N+].[I-],C8H9F3IN,,,,,,,,
4-Trifluoromethyl-Phenylammonium iodide,4TrifluoromethylPhenylammoniumIodide,289.04,,"InChI=1S/C7H6F3N.HI/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",KOAGKPNEVYEZDU-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)[N+].[I-],C7H7F3IN,,,,,,,,
iso-Pentylammonium iodide,IPentylammoniumIodide,215.08,,"InChI=1S/C5H13N.HI/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",UZHWWTHDRVLCJU-UHFFFAOYSA-N,CC(CC[N+])C.[I-],C5H14IN,,,,,,,,
n-Hexylammonium iodide,nHexylammoniumIodide,229.11,,"InChI=1S/C6H15N.HI/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",VNAAUNTYIONOHR-UHFFFAOYSA-N,CCCCCC[NH3+].[I-],C6H16IN,,,,,,,,
"Propane-1,3-diammonium iodide",Propane13diammoniumIodide,203.05,,InChI=1S/C3H10N2.HI/c4-2-1-3-5;/h1-5H2;1H/p+1,UMDDLGMCNFAZDX-UHFFFAOYSA-O,C(CC[N+])[N+].[I-],C3H12IN2,,,,,,,,
tert-Octylammonium iodide,TertOctylammoniumIodide,257.16,,"InChI=1S/C8H19N.HI/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",UXYJHTKQEFCXBJ-UHFFFAOYSA-N,C(CC(C)(C)[N+])(C)(C)C.[I-],C8H20IN,,,,,,,,
N-propylammonium Iodide,NPropylammoniumIodide,187.02,,"InChI=1S/C3H9N.HI/c1-2-3-4;/h2-4H2,1H3;1H",GIAPQOZCVIEHNY-UHFFFAOYSA-N,[I-].[NH3+]CCC,C3H10IN,,,,,,,,
